rank,userName,proxyWallet,xUsername,weather_pnl_usd,weather_volume_usd,pnl_over_volume_pct,classification,confidence,active_positions,active_weather_positions,active_nonweather_positions,recent_activity,recent_weather_activity,recent_nonweather_activity,sample_weather_titles,sample_nonweather_titles,profile_url
1,gopfan2,0xf2f6af4f27ec2dcf4072095ab804016e14cd5817,r_gopfan,343733.57895046985,4571379.8334099995,7.519252205609512,profitable in weather but currently/recently generalist,low,100,2,31,192,0,36,Will 2026 be the second-hottest year on record? | Rangers vs. Hurricanes,Will Congo DR win the 2026 FIFA World Cup? | Will Senegal win the 2026 FIFA World Cup? | Will Kamala Harris win the 2028 US Presidential Election? | Will Brad Lander win the 2025 NYC mayoral election? | Will Trump nominate no one before 2027?,https://polymarket.com/profile/0xf2f6af4f27ec2dcf4072095ab804016e14cd5817
2,aenews2,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,aenews,277050.1850998622,9972308.555524996,2.778195074463145,not enough public recent data to classify,low,30,0,6,194,0,12,,Will the U.S. invade Iran before 2027? | Will Trump agree to Iranian enrichment of uranium in April? | Strait of Hormuz traffic returns to normal by end of April? | Will the Virginia constitutional amendment referendum pass by less than 3%? | Will the Virginia constitutional amendment referendum pass by 3-6%?,https://polymarket.com/profile/0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1
3,ColdMath,0x594edb9112f526fa6a80b8f858a6379c8a2c1c11,,121302.20874752072,8832029.429289,1.3734352870842488,weather specialist / weather-heavy,medium,100,97,1,200,192,0,Will the highest temperature in Cape Town be 16°C on April 20? | Will the highest temperature in Ankara be 10°C or higher on March 1? | Will the highest temperature in Wellington be 21°C or higher on February 28? | Will the highest temperature in London be 11°C on April 14? | Will the highest temperature in Ankara be 13°C or higher on March 21? | Will the highest temperature in Lucknow be 35°C on March 5? | Will the highest temperature in Ankara be 7°C on February 26? | Will the highest temperature in Ankara be 8°C or higher on February 26?,Will Liverpool FC win on 2025-12-27? | Spread: KFUM-Kameratene Oslo (-2.5) | Spread: Fatih Karagümrük SK (-2.5) | Spread: Amiens SC (-2.5) | Spread: CF Estrela da Amadora (-2.5),https://polymarket.com/profile/0x594edb9112f526fa6a80b8f858a6379c8a2c1c11
4,gopfan,0x6af75d4e4aaf700450efbac3708cce1665810ff1,,118426.46718552645,739900.982649,16.005718327543637,weather-heavy mixed,medium,0,0,0,196,46,78,Will there be more than 25 named storms during Atlantic Hurricane Season? | 2024 August hottest on record? | 2024 August hottest on record? | 2024 August hottest on record? | Will Ukraine hold Kursk through October 31? | August temperature increase greater than 1.29°C? | August temperature increase by between 1.25-1.29°C? | August temperature increase by between 1.20-1.24°C?,Will Lee Jun-seok be elected the next president of South Korea? | Will Kanye West win the 2024 US Presidential Election? | Will Lee Jun-seok be elected the next president of South Korea? | Will a Democrat win Nevada US Senate Election? | Will a Republican win Montana US Senate Election?,https://polymarket.com/profile/0x6af75d4e4aaf700450efbac3708cce1665810ff1
5,bama124,0xe5c8026239919339b988fdb150a7ef4ea196d3e7,,86600.54794799998,410556.070087,21.09347644760158,profitable in weather but currently/recently generalist,low,1,0,0,193,4,55,August temperature increase by between 1.25-1.29°C? | August temperature increase by between 1.20-1.24°C? | August temperature increase greater than 1.29°C? | August temperature increase by between 1.25-1.29°C?,GPT-5 announced in Q4 2024? | Fed emergency rate cut in 2024? | Will Kamala Harris win the 2024 US Presidential Election? | Will Jake Paul win his boxing match against Mike Tyson? | Will Mike Tyson win his boxing match against Jake Paul?,https://polymarket.com/profile/0xe5c8026239919339b988fdb150a7ef4ea196d3e7
6,Hans323,0x0f37cb80dee49d55b5f6d9e595d52591d6371410,Hans323,80872.36773858605,6971546.614698998,1.1600348130509888,weather specialist / weather-heavy,medium,4,0,0,157,55,11,Will the highest temperature in New York City be between 50-51°F on April 21? | Will the highest temperature in New York City be between 50-51°F on April 21? | Will the highest temperature in Manila be 33°C on April 15? | Will the highest temperature in Guangzhou be 30°C or below on April 15? | Will the highest temperature in Manila be 34°C on April 15? | Will the highest temperature in Manila be 34°C on April 15? | Will the highest temperature in Manila be 34°C on April 15? | Will the highest temperature in Manila be 34°C on April 15?,Will Gavin Newsom win the 2028 Democratic presidential nomination? | Will Gavin Newsom win the 2028 Democratic presidential nomination? | Will Abdul El-Sayed win the 2026 Michigan Democratic Primary? | Will Mallory McMorrow win the 2026 Michigan Democratic Primary? | Will Gavin Newsom win the 2028 Democratic presidential nomination?,https://polymarket.com/profile/0x0f37cb80dee49d55b5f6d9e595d52591d6371410
7,Handsanitizer23,0x05e70727a2e2dcd079baa2ef1c0b88af06bb9641,,71174.40067137999,953274.808,7.466304582275292,weather specialist / weather-heavy,medium,21,15,4,200,151,37,Will the highest temperature in Guangzhou be 31°C on April 16? | Will the highest temperature in Shenzhen be 28°C on March 22? | Will the highest temperature in Lucknow be 35°C on March 6? | Will the highest temperature in Lucknow be 36°C or below on March 9? | Will the highest temperature in Seoul be 4°C on March 8? | Will the highest temperature in Dallas be between 72-73°F on March 4? | Will the highest temperature in London be 16°C on March 3? | Will the highest temperature in Dallas be between 84-85°F on March 19?,"Will Bitcoin dip to $68,000 on April 17? | Will the price of Solana be between $90 and $100 on March 7? | Will the price of Bitcoin be between $64,000 and $66,000 on March 1? | Will Trump say ""Winter Olympic"" or ""Winter Olympics"" this week? (February 22) | Will Richard Grenell visit Venezuela by March 31, 2026?",https://polymarket.com/profile/0x05e70727a2e2dcd079baa2ef1c0b88af06bb9641
8,automatedAItradingbot,0xd8f8c13644ea84d62e1ec88c5d1215e436eb0f11,,64617.53192168537,2362463.722794,2.735175626115628,weather specialist / weather-heavy,medium,35,19,0,200,124,39,Will the highest temperature in Seoul be 22°C on April 23? | Will the highest temperature in Los Angeles be between 70-71°F on April 19? | Will the highest temperature in Seoul be 17°C on April 17? | Will the highest temperature in Chicago be between 48-49°F on April 19? | Will the highest temperature in Sao Paulo be 28°C on April 19? | Will the highest temperature in Chicago be between 72-73°F on April 15? | Will the highest temperature in Lagos be 32°C on April 19? | Will the highest temperature in San Francisco be between 62-63°F on April 15?,T20 Series France vs Luxembourg: France vs Luxembourg - Who wins the toss? | T20 Series France vs Luxembourg: France vs Luxembourg - Who wins the toss? | Will there be between 14 and 16 earthquakes of magnitude 7.0 or higher worldwide in 2026? | Will Merab Dvalishvili fight Song Yadong next? | Will SpaceX's market cap be greater than $1T at market close on IPO day?,https://polymarket.com/profile/0xd8f8c13644ea84d62e1ec88c5d1215e436eb0f11
9,BeefSlayer,0x331bf91c132af9d921e1908ca0979363fc47193f,BeefSlayer_,63444.05232605834,1418633.8287629997,4.472193672512335,weather specialist / weather-heavy,medium,13,12,1,199,198,1,Will the highest temperature in Seattle be 66°F or higher on April 24? | Will the highest temperature in Seoul be 18°C on April 23? | Will the highest temperature in Seoul be 20°C on April 25? | Will the highest temperature in New York City be between 68-69°F on April 23? | Will the highest temperature in Seoul be 19°C on April 23? | Will the highest temperature in Atlanta be between 84-85°F on April 22? | Will the highest temperature in Seoul be 19°C on April 25? | Will the highest temperature in New York City be between 64-65°F on April 24?,Will Shai Gilgeous-Alexander win the 2025–2026 NBA MVP? | Will Cade Cunningham win the 2025–2026 NBA MVP?,https://polymarket.com/profile/0x331bf91c132af9d921e1908ca0979363fc47193f
10,BigMike11,0xecdbd79566a25693b9971c48d7de84bc05f7da79,,62776.720778682255,850755.6481369999,7.378936703641268,weather-heavy mixed,medium,1,0,0,178,8,56,Russia x Ukraine ceasefire in 2025? | Russia x Ukraine ceasefire in 2025? | Will Coldplay be the top Spotify artist for 2025? | Will Coldplay be the top Spotify artist for 2025? | Russia x Ukraine ceasefire in 2025? | Russia x Ukraine ceasefire in 2025? | Russia x Ukraine ceasefire by August 31? | Russia x Ukraine ceasefire by August 31?,Will the U.S. invade Iran before 2027? | Will the U.S. invade Iran before 2027? | Will the U.S. invade Iran before 2027? | US forces enter Iran by April 30? | US forces enter Iran by April 30?,https://polymarket.com/profile/0xecdbd79566a25693b9971c48d7de84bc05f7da79
